 Bin (ppm)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72
0.82039	0.002004797	0.002004797	0.002004797	92.30267545	3.156830353	35.35659168	0.002004797	0.002004797	0.002004797	0.679394464	0.002004797	0.002004797	15.79602469	0.002004797	0.002004797	0.002004797	15.96363248	90.74723058	61.69408203	0.002004797	24.99002649	0.002004797	68.71992812	436.654859	168.6485865	73.28399281	108.2911978	176.2487869	113.116099	214.3197732	0.002004797	0.002004797	7.245993028	0.002004797	0.002004797	229.1104368	0.002004797	0.002004797	0.002004797	6.570742154	0.002004797	0.002004797	27.53615369	15.94525472	0.002004797	0.002004797	0.002004797	0.002004797	7.58087607	0.002004797	4.906022833	33.13889369	2.025711615	9.234131914	0.002004797	13.30858535	61.97060719	13.7715598	66.6143747	0.002004797	0.002004797	0.002004797	0.002004797	0.002004797	0.002004797	0.002004797	11.382198	14.84179742	15.57008988	37.60810711	19.35868535	2.014083412
0.83821	88.22814328	90.38835631	38.28227085	7.30679571	38.08744277	33.32970266	36.07160427	25.33688219	54.04641769	2.728740035	13.10115203	10.66206922	0.002004797	47.69891953	58.22076028	85.62826188	31.1261232	223.8753943	1203.592434	636.3562086	970.119223	390.4395091	1052.667232	1582.579391	323.1242124	238.0476231	407.1341267	352.0948324	270.2477331	352.7132784	40.82414802	10.66863288	72.22459135	20.58501939	7.131843376	422.2321102	9.794032363	11.41902481	0.002004797	9.875137974	0.002004797	0.002004797	137.9716387	138.99777	44.59743252	140.4677215	32.5680341	8.647958033	0.002004797	23.51336137	0.002004797	10.90963073	48.60031446	0.002004797	9.719650064	0.002004797	0.002004797	0.002004797	3.651708143	2.29286167	0.002004797	0.002004797	0.002004797	9.897040815	0.002004797	6.387655784	288.9391242	325.1183968	327.297914	416.0155237	322.249255	365.5964511
0.8439	330.5090291	354.7580893	229.9540747	99.28088853	166.7508188	194.2328068	240.573505	227.1895725	333.7424386	226.4808647	246.5457776	212.7216967	74.38144571	211.0675473	263.6557966	358.5585105	170.2104312	508.3967266	2171.817115	1551.608685	1654.15859	1371.906861	1930.666711	2679.861241	500.7007341	370.3554557	673.3777885	522.7504053	328.6417725	481.7973855	118.7769211	62.93092003	133.0461415	75.22639358	34.99818619	634.0923554	53.70271369	67.28459036	41.50234116	74.75982881	56.27425872	25.04054996	379.1851649	355.0931816	164.2361443	385.0425455	180.2711397	226.5315719	0.002004797	50.40254603	0.002004797	0.002004797	37.85616964	0.002004797	148.8033224	0.002004797	2.535035592	91.69771608	0.002004797	96.54369311	20.15592668	28.44249233	19.99183277	26.10675282	27.53783684	51.82477717	851.6535773	890.0701098	1001.364193	1091.94827	921.0000118	1120.997917
0.84978	1524.66227	1495.583939	972.3055372	510.0343568	1043.488462	910.5305897	1049.267861	977.1879229	1377.747897	995.6873343	1096.9786	1056.55677	1227.284293	899.0038599	1354.688801	1657.126457	1129.55097	1817.551221	6060.748266	4448.097425	5448.125421	3634.726907	4856.369269	6556.075969	2037.928442	1374.036659	2223.817325	2003.933131	1555.181652	1844.849495	875.5157967	1073.132619	1155.814179	846.6470211	855.6256967	2325.598725	878.4770767	863.6148828	642.8485688	807.3999753	936.6879362	682.1901222	3089.771091	2851.783356	2618.054964	3411.011247	2487.12817	3252.076431	452.3740813	799.8598816	682.7168929	423.9363832	495.6408758	357.7914713	638.7996475	507.8642311	433.6568065	694.7338775	336.7849391	534.1747345	555.6019988	603.6755585	492.0489303	531.5897837	632.1426049	636.1301798	5812.675171	6322.198524	5867.480025	6458.255528	6327.405626	6499.065729
0.86572	1379.658033	1367.673205	987.3870662	543.8052705	1036.642642	829.2882257	1032.238033	981.6258061	1434.99089	949.2253609	1055.411617	956.7112998	1328.401685	1040.021692	1437.669911	1533.058595	1215.031411	2044.264534	11367.30899	8438.033824	7568.154433	7728.152188	9181.151503	11055.86052	1751.101437	1290.775825	1764.981168	2030.569079	1305.162684	1528.023727	742.8375682	979.0271049	1021.964608	807.4661337	785.1339124	2033.205293	833.0875461	763.9304532	615.5674447	835.4230636	1069.127628	619.3747163	2911.790649	2931.555644	2617.130743	3534.977767	2543.80461	3744.935952	449.9286751	825.1770707	705.5522433	511.9475204	482.2728875	396.2853984	592.8967552	489.6701366	452.6134933	635.3104964	337.918329	568.7021611	516.0325317	558.2484985	495.1292062	441.1392198	553.8353415	596.1846286	7963.064185	8159.945595	7725.664287	8526.586007	8047.335927	8003.445378
0.88308	7131.364322	6928.59431	7026.770579	3925.076692	6023.679817	6242.389592	4679.935268	4721.065051	6044.888494	4880.268848	5222.06916	5113.118805	10801.58221	10450.60034	10814.09846	12078.9795	10685.16403	11150.70134	44836.39444	36420.33309	33259.01417	33907.12676	35756.90188	39981.87405	2367.550339	1661.848987	2414.982751	2531.117902	1689.287224	2024.85033	1486.471106	3521.587082	2043.720262	1406.33358	3458.18408	3111.408679	4673.144481	4969.84343	5017.499038	4767.145356	3808.554117	2935.801359	10203.85745	9791.691943	8768.105179	10168.27136	7938.79798	9289.155919	2882.167401	4758.115467	5532.055801	4122.599712	3406.896811	3102.584299	2662.808283	3605.02166	4626.790337	4412.121403	3458.154415	3285.661372	2495.296319	2845.264651	2405.384659	1764.137678	1975.535491	2536.022749	32559.22038	34913.00247	33577.38391	35448.04219	34539.49076	34085.82082
0.90027	9694.023298	9432.930333	9309.721454	5950.26522	8337.054095	8747.685047	6200.585526	5881.088765	7477.256329	5969.253347	6411.577047	6396.731338	16077.41744	15040.43695	15106.51428	16470.96381	15732.25334	14147.53972	39220.74999	33153.27327	30338.95726	29552.15556	31519.23778	34770.99119	2301.178828	1548.404619	2276.954174	2385.046959	1841.525698	1919.14447	2314.624887	4974.063337	4093.927675	2030.165949	12885.47267	3118.059101	19545.12143	22264.18862	23411.78458	23021.16272	14342.30875	11609.15596	11194.16377	11113.58242	11338.48903	11834.71688	9661.231982	9254.565231	5148.226495	7892.890715	10749.29704	7632.226858	6077.676493	4910.413609	3733.123393	5913.013428	9234.766915	7040.731441	6446.872742	4969.891102	3635.127017	4346.290085	3396.40085	2652.638245	2756.062351	3605.209653	30818.38989	34335.62705	32913.06522	34235.72621	33998.03284	33395.58129
0.91262	6241.123151	6002.888239	5974.748715	3694.329306	5155.478781	5415.739132	4188.032071	4228.585863	4806.561999	4323.441919	4530.953953	4353.64272	9671.984361	8957.689374	9372.561144	10083.02574	9451.665912	8647.030335	24479.17299	20988.4716	19180.31995	20612.31401	21282.41212	23486.97572	1730.766918	1139.441019	1667.619122	1769.919411	1209.688034	1395.128	1412.589199	2650.689098	1943.699154	1217.935497	5537.140122	2157.417649	8678.616659	10921.30224	10360.57458	10090.51053	7136.156447	5378.247457	5909.697153	5770.842618	5353.885352	6174.775699	4447.547081	4626.050643	2636.704972	3734.446508	5240.824732	4229.512395	3153.309804	2634.471769	2236.808628	3398.945842	4471.368832	4330.956948	3366.90319	3001.598362	1839.288647	2142.065813	1776.115986	1410.538371	1362.418374	1884.905134	20037.73041	22242.86869	20662.74908	22507.51077	21466.62492	22041.12645
0.93326	13825.46584	13280.662	13819.8012	9713.043066	11852.29359	12908.56215	8999.764289	8542.548089	9965.626845	9114.108535	9455.367475	9334.991074	24400.10676	22979.89726	23042.65	24299.97795	23329.95433	20486.86755	51288.53658	43542.53723	40098.37127	46868.27351	44048.68645	46176.48671	4263.24964	3075.159533	3955.128729	4448.034451	3386.929875	3443.181177	3524.888348	7421.726711	5716.137254	3214.466612	17729.86861	5553.859968	27613.02915	33216.94076	34666.83741	32814.39759	22148.80221	17306.91943	17516.55964	17367.00171	18894.93737	18908.1358	16638.1069	15025.66505	7681.557623	12084.31295	18361.05782	15385.33718	9055.336201	7717.994065	5888.346155	9371.822371	15122.61108	11521.05662	10633.85514	7828.190342	5696.785227	6853.478902	5458.906358	3963.1066	4072.195502	5617.416699	47044.14809	50645.18949	48962.62865	50961.47124	49539.93125	49169.48726
0.9485	2411.710308	2466.308023	2321.451183	2072.651677	1950.446017	2623.409264	2400.030615	2505.338377	2539.924283	2467.068882	2804.362515	2459.954009	3224.46414	3179.554601	2943.028272	2770.812889	2690.360462	1791.616514	23422.7484	19251.32981	17333.48523	21935.13012	18590.81279	19407.38094	2250.993283	1744.27992	2071.738667	2319.477951	1625.512312	1903.396493	1231.720692	1368.899382	1318.371064	1342.105367	1982.290114	2784.445124	3227.628154	3141.203971	2963.435676	3764.096834	3624.751002	2446.715073	3313.201164	3786.553539	4330.615963	4760.802359	3879.720044	5239.81248	1510.202248	1539.518001	2096.931213	2174.682635	1532.442091	1370.314854	1260.819818	1544.397259	1872.390287	1984.309491	1648.3829	1470.94784	1082.791409	1236.181244	1042.284407	869.8279889	858.2608117	1091.157517	12294.15476	12944.12736	12484.63416	13334.25674	12398.74313	12922.32332
